item,kcal,protein_g,calcium_mg,unit,aisle,basis
Calcium-set firm tofu,120,13,350,g,Chilled,
Tempeh,190,19,110,g,Chilled,
Seitan,130,25,30,g,Chilled,
Cooked green lentils,116,9,19,g,Pantry,
Chickpeas (cooked),164,9,49,g,Pantry,
Black beans (cooked),132,9,27,g,Pantry,
White beans (cooked),140,9,90,g,Pantry,
Edamame (shelled),121,12,63,g,Frozen,
Edamame (in pod),60,6,31,g,Frozen,
Pea/soy protein isolate,370,80,300,g,Pantry,
Unsweetened fortified soy milk,33,3.3,120,ml,Chilled,
Fortified soy yogurt,55,4,120,g,Chilled,
Rolled oats,379,13,52,g,Pantry,
Brown rice (dry),360,7.5,10,g,Pantry,
Wholewheat pasta (dry),350,13,30,g,Pantry,
Soba noodles,350,14,20,g,Pantry,
Chickpea (gram) flour,387,22,45,g,Pantry,
Quinoa (dry),368,14,47,g,Pantry,
Potatoes,77,2,12,g,Produce,
Sweet potato,86,1.6,30,g,Produce,
Chia seeds,486,17,631,g,Pantry,
Almonds,579,21,269,g,Pantry,
Pumpkin seeds,559,30,46,g,Pantry,
Sesame seeds,573,17,975,g,Pantry,
Tahini,595,17,426,g,Pantry,
Nutritional yeast,350,50,30,g,Pantry,
Hummus,230,7.5,38,g,Chilled,
Peanut butter,588,25,49,g,Pantry,
Spinach,23,2.9,99,g,Produce,
Kale,35,3.3,150,g,Produce,
Pak choi,13,1.5,105,g,Produce,
Broccoli,34,2.8,47,g,Produce,
Bell peppers,31,1,7,g,Produce,
Cherry tomatoes,18,0.9,10,g,Produce,
Chopped tomatoes,24,1.2,20,g,Pantry,
Courgette,17,1.2,16,g,Produce,
Carrots,41,0.9,33,g,Produce,
Salad leaves,17,1.5,40,g,Produce,
Mixed greens,20,1.8,60,g,Produce,
Nori / seaweed,35,6,70,g,Pantry,
Sweetcorn,86,3.2,2,g,Frozen,
Avocado,160,2,12,g,Produce,
Mixed berries,50,1,25,g,Produce,
Apple,95,0.5,11,each,Produce,unit
Banana,105,1.3,6,each,Produce,unit
Wholegrain bread,90,4,30,slice,Bakery,unit
Wholemeal tortilla,150,5,40,each,Bakery,unit
Rice cakes,35,0.7,1,each,Pantry,unit
Coffee beans,0,0,0,g,Pantry,
